Source,Compare,Value
7,6568,0.8561770000000001
27,6568,0.87713814
40,6568,0.8361223
45,7131,0.8042800999999999
51,6568,0.84927887
70,20297,0.8171754
84,16298,0.8024383
86,17048,0.80242044
93,2476,0.81185776
93,2486,0.8236908000000002
93,5848,0.9453731
93,12238,0.8286751
93,15981,1.0
93,16041,0.8443482
93,16203,0.8480279000000001
93,19607,0.83111316
94,12884,0.8108501
100,6568,0.8965459000000001
120,6568,0.8246846
144,1575,0.8041734
144,1579,0.8470042999999999
144,11155,0.8223360000000001
144,12568,0.8013815
144,14750,0.8107065999999999
165,184,0.8002726
180,17584,0.82163817
180,17595,0.8054222
180,17801,0.82163817
192,17015,0.82125485
193,426,0.80574673
194,5216,0.81246084
196,10232,0.80164707
201,6568,0.89923435
209,20297,0.80323684
221,387,0.8070539000000001
234,6568,0.8361223
247,3434,0.8329677
259,16487,0.8137196999999999
272,6568,0.89923435
273,6568,0.8122020000000001
305,1039,0.8154496999999999
305,1246,0.81877005
305,1848,0.83101267
305,1994,0.8030078
305,2938,0.8265737
305,4542,0.81401753
305,6245,0.81970024
305,6670,0.80944175
305,6763,0.80814487
305,6767,0.85356194
305,6770,0.80947393
305,7275,0.8411420000000001
305,7955,0.83146054
309,2476,0.81185776
309,2486,0.8236908000000002
309,5848,0.9453731
309,12238,0.8286751
309,15981,1.0
309,16041,0.8443482
309,16203,0.8480279000000001
309,19607,0.83111316
320,3381,0.8084039000000001
322,6568,0.8361223
323,16487,0.817906
333,18073,0.80287296
341,6568,0.8613013
343,6568,0.85803837
344,2476,0.81185776
344,2486,0.8236908000000002
344,5848,0.9453731
344,12238,0.8286751
344,15981,1.0
344,16041,0.8443482
344,16203,0.8480279000000001
344,19607,0.83111316
366,6568,0.8650097
371,6568,0.8076434
386,6568,0.84042794
392,10287,0.8109341
400,10551,0.8066923
400,14167,0.8005564000000001
403,6568,0.82617384
413,6568,0.8361223
414,6568,0.8026562
416,2798,0.8184673000000001
416,3210,0.8035744
437,6568,0.82170266
441,6568,0.8361223
456,6568,0.82792723
458,6568,0.93313104
470,13360,0.8092491999999999
489,6568,0.8838331
502,6568,0.86771303
515,19567,0.80600214
521,6568,0.85013884
533,6568,0.8361223
538,5420,0.80737394
548,2476,0.81185776
548,2486,0.8236908000000002
548,5848,0.9453731
548,12238,0.8286751
548,15981,1.0
548,16041,0.8443482
548,16203,0.8480279000000001
548,19607,0.83111316
575,17015,0.82125485
599,2476,0.81185776
599,2486,0.8236908000000002
599,5848,0.9453731
599,12238,0.8286751
599,15981,1.0
599,16041,0.8443482
599,16203,0.8480279000000001
599,19607,0.83111316
604,3381,0.80976546
628,10287,0.8109341
662,13550,0.8036300000000001
677,10287,0.8116838000000001
679,16880,0.8201224
679,19311,0.8029954
679,19579,0.8101695
712,17584,0.82163817
712,17595,0.8054222
712,17801,0.82163817
756,8314,0.82210124
756,8831,0.8008335999999999
770,17015,0.82125485
777,6568,0.8469061999999999
794,16756,0.8081265999999999
804,18854,0.8084150999999999
816,6568,0.8384928
840,10149,0.86119944
840,12350,0.82014036
848,2171,0.82018954
848,11529,0.8001034
848,13172,0.8001034
854,6568,0.8275953000000001
861,10232,0.8455302
871,6534,0.8028191
879,4026,0.80072826
891,20297,0.8188622
907,19150,0.80156463
929,2476,0.81185776
929,2486,0.8236908000000002
929,5848,0.9453731
929,12238,0.8286751
929,15981,1.0
929,16041,0.8443482
929,16203,0.8480279000000001
929,19607,0.83111316
933,12884,0.82260513
936,8957,0.8212356
936,19467,0.8046234
936,19696,0.80530506
936,20939,0.81599355
951,17048,0.80737287
955,8429,0.81182224
960,10149,0.82645136
965,15492,0.8487719000000001
968,8429,0.81182224
975,4139,0.8085871
975,18854,0.8024044
977,6382,0.8116346999999999
977,16863,0.8219814000000001
977,17358,0.8266829
977,17405,0.80741054
980,8429,0.81182224
992,8429,0.81182224
996,17584,0.82163817
996,17595,0.8054222
996,17801,0.82163817
998,3471,0.80325127
998,14206,0.82580566
1001,13886,0.8030082
1001,16765,0.80838567
1004,8429,0.81182224
1012,10221,0.82352674
1013,20595,0.80592114
1022,10232,0.8455302
1027,16487,0.82750505
1032,16487,0.8137196999999999
1039,8429,0.81182224
1050,12007,0.81463826
1050,12024,0.8074326999999999
1050,12082,0.81573814
1050,12271,0.8029328
1050,12309,0.80115837
1050,12694,0.81339145
1052,8429,0.81182224
1055,2608,0.81559116
1066,8429,0.81182224
1073,1481,0.80857813
1078,14278,0.8035073
1085,14284,0.80258906
1086,18601,0.8167042
1087,18705,0.8092100999999999
1088,6128,0.82198006
1091,5216,0.80714214
1091,16755,0.8089867
1091,18938,0.81230986
1091,19670,0.8566521
1091,19961,0.8402187
1093,11857,0.8026248
1093,11904,0.8402937
1093,11984,0.8204229
1095,8429,0.81182224
1098,2421,0.84389764
1105,8957,0.8611280000000001
1105,19261,0.8156274
1105,19311,0.8435985
1107,8429,0.81182224
1116,650,0.80160284
1116,1314,0.83311534
1116,3783,0.8089781
1116,4018,0.81560534
1116,5743,0.82420856
1116,9884,0.8489892
1116,13208,0.81331605
1116,21077,0.80364037
1117,3783,0.82316935
1128,15428,0.82642317
1128,17004,0.82392293
1128,18352,0.81047803
1131,2126,0.8012869
1131,6083,0.8299226999999999
1132,17048,0.81249017
1135,11018,0.86730427
1135,11040,0.82410896
1135,12085,0.8243062
1137,8957,0.87977046
1142,8429,0.81182224
1145,4768,0.8201099000000001
1145,8270,0.82364964
1145,13448,0.81334263
1154,8429,0.81182224
1157,467,0.8174638000000001
1157,14704,0.8060244000000001
1157,19652,0.8302513000000001
1165,1240,0.82803935
1167,15277,0.83501416
1167,17291,0.8367465000000001
1167,17351,0.8401270000000001
1167,18344,0.8281896000000001
1181,8429,0.81182224
1183,4304,0.808044
1183,17250,0.8066304
1207,18775,0.8130933000000001
1217,5500,0.811262
1226,17015,0.82125485
1244,10232,0.8455302
1254,19696,0.8182931999999999
1255,2147,0.8267745000000001
1255,6343,0.835432
1255,8957,0.8732348
1255,19150,0.8245905000000001
1255,19311,0.8177477
1255,19696,0.8251093
1255,20939,0.8426391
1257,1231,0.8098301
1261,17250,0.8643719000000001
1287,14946,0.8116399000000001
1287,15838,0.8059163
1287,16487,0.8101393
1300,5420,0.81642807
1303,1008,0.82182115
1303,13524,0.81882405
1303,17669,0.8022676999999999
1308,5437,0.80473727
1317,20291,0.8020752
1319,9780,0.80362725
1319,9807,0.8176694
1319,12559,0.8124170999999999
1319,14184,0.8119309
1322,5437,0.80473727
1331,12978,0.81960267
1331,15113,0.81157684
1337,3591,0.81828624
1337,6530,0.8180812
1337,12884,0.8069748000000001
1337,13668,0.82352895
1349,5064,0.80164325
1349,12964,0.8104823
1349,13369,0.8227261999999999
1349,14151,0.81253064
1360,17048,0.8053814
1369,5437,0.80473727
1376,426,0.8036075
1377,13360,0.8092491999999999
1382,6534,0.8079191
1383,14167,0.8033884
1386,10660,0.81215155
1392,6530,0.81182915
1392,12884,0.8565377000000001
1401,15573,0.81071866
1402,16755,0.8022756
1404,18854,0.8231744000000001
1406,14768,0.80867285
1407,5437,0.80473727
1408,5420,0.808325
1419,9583,0.80112934
1419,15751,0.82195044
1419,16755,0.82128644
1419,16845,0.8037143
1420,5437,0.80473727
1423,14393,0.80411357
1428,17674,0.8051268
1434,5437,0.80473727
1435,16487,0.8137196999999999
1443,15856,0.84060395
1448,9957,0.8524084000000001
1448,16880,0.8071510000000001
1456,8957,0.8285370999999999
1456,9957,0.80177844
1458,15535,0.81074166
1458,17802,0.8102435
1466,1758,0.8162661
1466,13125,0.81023437
1466,13524,0.8288540000000001
1471,467,0.8146316
1471,3381,0.80447257
1471,19652,0.80358016
1479,4712,0.81942207
1479,10348,0.84948176
1479,14987,0.81942207
1479,15024,0.81942207
1479,16803,0.83414257
1479,16917,0.83828425
1479,17324,0.81942207
1479,19589,0.81942207
1480,2,0.8048119
1480,15,0.81775045
1480,16,0.83022135
1480,34,0.857933
1480,164,0.8076358
1480,637,0.8146769
1480,639,0.8400089
1480,640,0.8127045999999999
1480,828,0.8063533
1480,1056,0.807687
1480,1301,0.8298068999999999
1480,2045,0.86188495
1480,2099,0.84568864
1480,2113,0.868848
1480,2114,0.8582700999999999
1480,2115,0.82975495
1480,2148,0.8246
1480,2153,0.8462413000000001
1480,2825,0.804693
1480,3604,0.8210296
1480,5382,0.8362200999999999
1480,5436,0.8784286
1480,6340,0.8185684
1480,8200,0.8305038
1480,8254,0.86880136
1480,8839,0.8100866
1480,10446,0.8075422
1480,11003,0.8604554
1480,11020,0.8330848
1480,13113,0.83750033
1480,13117,0.88518894
1480,13555,0.8253726999999998
1480,14766,0.8082180999999999
1480,19215,0.8021001999999999
1480,19248,0.8534212
1480,19255,0.8791882
1480,19274,0.80367696
1480,19290,0.8095014
1480,19310,0.8127456999999999
1480,19317,0.8035314
1480,19338,0.87106895
1480,19362,0.840465
1480,19366,0.9129494
1480,19378,0.840465
1480,19390,0.8061529000000001
1480,19393,0.8010443
1480,19400,0.8237167
1480,19411,0.8791209000000001
1480,19413,0.87554204
1480,19436,0.8007677
1480,19461,0.9172991
1480,19468,0.80597407
1480,19470,0.83532614
1480,19475,0.87727225
1480,19646,0.82146096
1480,19656,0.83517635
1480,19703,0.8037729
1480,19768,0.8648889000000001
1480,19786,0.8454591
1480,19803,0.8450593000000001
1480,19995,0.8752979999999999
1480,20024,0.85557127
1480,20036,0.82549125
1480,20660,0.8170698000000001
1480,20680,0.8421656
1480,20844,0.8179383000000001
1480,20870,0.8073713
1480,20871,0.8051991999999999
1480,20898,0.87113655
1480,20931,0.88425386
1486,12974,0.80708194
1486,13288,0.8355004999999999
