Source,Compare,Value
4,11033,0.81815404
7,5287,0.8561770000000001
7,5600,0.8561770000000001
7,12365,0.8237722
14,5348,0.80589324
15,5348,0.8158097
27,1343,0.8228468000000001
27,2502,0.80447316
27,2672,0.80447316
27,3038,0.83015954
27,5287,0.87713814
27,5600,0.87713814
27,12365,0.82278526
40,1343,0.8267747
40,5287,0.8361223
40,5600,0.8361223
42,2854,0.8322712
51,2159,0.8218223
51,2502,0.8484983
51,2672,0.8484983
51,2676,0.8280011999999999
51,2813,0.8106726
51,3038,0.8437815000000001
51,4488,0.857258
51,5287,0.84927887
51,5600,0.84927887
51,12365,0.8067217
54,2676,0.81093496
54,4488,0.81623256
80,7224,0.8741116
84,2410,0.8049026
84,2813,0.80034745
84,3038,0.8304120999999999
86,2410,0.80385906
86,2767,0.8193071
86,2789,0.8133326
86,2813,0.80688673
86,2854,0.8168178
86,3036,0.8505783000000001
86,15984,0.8330784999999999
89,3593,0.81527996
93,2235,1.0
93,2976,1.0
93,2977,0.84296924
93,2978,0.8465733
93,4316,0.8276245000000001
93,11694,0.9249332
93,13916,0.8256916
93,14600,0.8378593000000001
100,2502,0.8370103999999999
100,2671,0.8151752
100,2672,0.8370103999999999
100,4488,0.82291216
100,5287,0.8965459000000001
100,5600,0.8965459000000001
100,12365,0.84395635
105,4661,0.80540705
110,770,0.80952954
120,2502,0.81940645
120,2672,0.81940645
120,2676,0.81311417
120,2813,0.8422497
120,3038,0.8586273999999999
120,5287,0.8246846
120,5379,0.8045691999999999
120,5600,0.8246846
120,12365,0.8149380999999999
120,15984,0.80144435
137,2159,0.80014414
137,2676,0.82427067
137,15984,0.81809926
144,257,0.8083811
144,268,0.8017868
144,1282,0.8015602
144,1464,0.80133694
144,1680,0.80906975
144,1796,0.80642647
144,2072,0.82673097
144,3286,0.8374587
144,5409,0.80296224
144,5862,0.8088101
144,5866,0.8148449999999999
144,6352,0.80734646
144,7082,0.8011226
144,7396,0.823875
144,8446,0.8202683000000001
144,8819,0.82179934
144,12884,0.81534797
144,13636,0.81295264
144,13747,0.8058116
144,13969,0.82120836
144,14187,0.8111408
144,14706,0.83270556
144,15945,0.80860066
169,6824,0.8620934000000001
176,2854,0.8151275
176,5056,0.80802816
180,2379,0.82163817
180,14402,0.82163817
201,1343,0.8719742
201,2502,0.8136836999999999
201,2671,0.81319785
201,2672,0.8136836999999999
201,3038,0.83552915
201,4488,0.8251056
201,5287,0.89923435
201,5379,0.8447735000000001
201,5600,0.89923435
201,12365,0.8048050999999999
202,15783,0.8224300999999999
207,2821,0.8025267
207,3890,0.8013716
207,3918,0.81102717
209,2722,0.8512943999999999
210,699,0.80213726
212,11713,0.82982755
212,11796,0.8001394000000001
212,12359,0.8079028
212,13992,0.8079028
219,3038,0.8053464
219,7224,0.8557731
234,1343,0.8267747
234,5287,0.8361223
234,5600,0.8361223
239,4488,0.8054483
242,4488,0.8333888
247,11007,0.8575296999999998
247,11076,0.8069454
247,11770,0.81703705
257,10023,0.80103767
259,3846,0.8074376
259,11095,0.83700377
272,1343,0.8719742
272,2502,0.8136836999999999
272,2671,0.8131979
272,2672,0.8136836999999999
272,3038,0.83552915
272,4488,0.8251056
272,5287,0.89923435
272,5379,0.8447735000000001
272,5600,0.89923435
272,12365,0.8048050999999999
273,3038,0.8475712
273,5287,0.8122020000000001
273,5600,0.8122020000000001
298,2159,0.8124433000000001
301,2821,0.8060951
301,3733,0.8350407
301,8567,0.8048045
305,6425,0.8033835
305,12958,0.8120676
305,13023,0.82741934
305,13209,0.807437
305,13210,0.8148515000000001
305,13214,0.81624645
305,13628,0.8100169
305,13902,0.80112004
308,10455,0.8263704
309,2235,1.0
309,2976,1.0
309,2977,0.84296924
309,2978,0.8465733
309,4316,0.8276245000000001
309,11694,0.9249332
309,13916,0.8256916
309,14600,0.8378593000000001
311,10455,0.8045358
317,11007,0.80711186
321,12365,0.8018656
322,1343,0.8267747
322,5287,0.8361223
322,5600,0.8361223
336,2753,0.8171323
336,4488,0.81652087
337,10455,0.8263704
338,10455,0.8619603000000001
340,10455,0.8863088
341,2502,0.8081109999999999
341,2672,0.8081109999999999
341,3038,0.81712955
341,5287,0.8613013
341,5600,0.8613013
341,12365,0.8017658000000001
342,11012,0.8185979
343,1343,0.81094384
343,3038,0.82156503
343,5287,0.85803837
343,5600,0.85803837
344,2235,1.0
344,2976,1.0
344,2977,0.84296924
344,2978,0.8465733
344,4316,0.8276245000000001
344,11694,0.9249332
344,13916,0.8256916
344,14600,0.8378593000000001
366,2502,0.84157765
366,2671,0.80142146
366,2672,0.84157765
366,3038,0.8262575000000001
366,4488,0.835484
366,5287,0.8650097
366,5600,0.8650097
366,11764,0.80033666
366,12365,0.85502857
371,5287,0.8076434
371,5600,0.8076434
381,2722,0.8231901
381,4488,0.8226643
386,3038,0.83103335
386,5287,0.84042794
386,5600,0.84042794
386,12365,0.82252073
391,10896,0.82317626
391,14914,0.8224658000000001
400,2854,0.8318201999999999
400,5056,0.8048786
403,2502,0.815227
403,2672,0.815227
403,2813,0.80859387
403,5287,0.82617384
403,5600,0.82617384
403,12365,0.85562754
405,2410,0.82271695
405,2813,0.84637064
405,2922,0.8579263
405,3038,0.8208919
405,7034,0.80450517
407,10455,0.8379412
407,11007,0.8439790999999999
413,1343,0.8267747
413,5287,0.8361223
413,5600,0.8361223
414,5287,0.8026562
414,5600,0.8026562
416,11007,0.8087473000000001
416,12731,0.81731445
417,2676,0.80372995
417,3038,0.8250359
417,7224,0.812315
427,9837,0.8156646
437,2502,0.8170086999999999
437,2672,0.8170086999999999
437,4488,0.8532423000000001
437,5267,0.82995987
437,5287,0.82170266
437,5600,0.82170266
438,4488,0.8030019
438,5267,0.8650402
441,1343,0.8267747
441,5287,0.8361223
441,5600,0.8361223
445,7224,0.84311086
450,10455,0.80634534
456,3038,0.86077017
456,4488,0.80676854
456,5287,0.82792723
456,5600,0.82792723
456,12365,0.8212142
458,1343,0.87951213
458,2502,0.8524392
458,2671,0.8116081999999999
458,2672,0.8524392
458,3038,0.8552107
458,4488,0.84672976
458,4581,0.81282306
458,5287,0.93313104
458,5379,0.8285953000000001
458,5600,0.93313104
458,12365,0.8302326999999999
460,19,0.8014941
460,4488,0.83550745
460,11012,0.80197304
460,11713,0.8037278
463,12500,0.8256788
465,15984,0.824428
468,12365,0.8028113
470,3890,0.80424416
472,2720,0.812649
472,2722,0.82525486
472,4488,0.80620843
475,5379,0.8025769
488,2671,0.8056047
488,2722,0.84867543
488,4488,0.85922694
489,1343,0.83879495
489,3038,0.8570527
489,4488,0.80698603
489,4581,0.800495
489,5287,0.8838331
489,5379,0.80902797
489,5600,0.8838331
489,12365,0.80809116
490,10106,0.8047173000000001
502,1343,0.81318116
502,5287,0.86771303
502,5600,0.86771303
504,10023,0.8069420999999999
507,4498,0.80710244
515,15783,0.83395827
520,3038,0.8244584999999999
520,6232,0.81434256
520,12365,0.8030082
521,3038,0.80914354
521,4488,0.8048044
521,5287,0.85013884
521,5600,0.85013884
522,3038,0.8424956
522,12365,0.80997336
533,1343,0.8267747
533,5287,0.8361223
533,5600,0.8361223
538,14745,0.80206627
540,5267,0.85732985
546,4488,0.80323946
548,2235,1.0
548,2976,1.0
548,2977,0.84296924
548,2978,0.8465733
548,4316,0.8276245000000001
548,11694,0.9249332
548,13916,0.8256916
548,14600,0.8378593000000001
550,10455,0.82924634
550,11007,0.8152849
561,11012,0.85969996
568,10455,0.82024866
587,11007,0.81354016
590,2722,0.80495733
590,11713,0.8155758000000001
590,12359,0.8376627000000001
590,13992,0.8376627000000001
591,10455,0.82066983
593,11007,0.82357085
593,12365,0.8019498
595,15783,0.84705603
599,2235,1.0
599,2976,1.0
599,2977,0.84296924
599,2978,0.8465733
599,4316,0.8276245000000001
599,11694,0.9249332
599,13916,0.8256916
599,14600,0.8378593000000001
602,12362,0.81228155
602,12365,0.8430586999999999
603,2658,0.82463664
610,10023,0.80092704
623,14824,0.81501776
632,2722,0.8023701999999999
639,2722,0.81604314
639,4488,0.8001027
646,4228,0.81062144
646,11012,0.8515408999999999
649,12359,0.8095653
649,13992,0.8095653
677,1554,0.8063269000000001
677,3063,0.85139996
677,3065,0.85139996
677,3075,0.85139996
679,10896,0.82446384
679,15783,0.8218700000000001
686,10023,0.80709225
688,10023,0.81858575
688,12359,0.81433034
