Source,Compare,Value
1,699,0.7187109
1,2159,0.71437484
1,2671,0.7172126
1,2753,0.7305965
1,4488,0.7214586
1,5286,0.70788324
1,10023,0.70504284
2,2159,0.7243821
2,2767,0.714521
2,2804,0.7231819
2,3266,0.705379
2,11033,0.7421986999999999
2,15873,0.7093258000000001
2,15928,0.7015468
2,15984,0.7260463
3,2767,0.7054293
3,2774,0.7445031999999999
3,2854,0.74804795
3,3038,0.70826316
3,3350,0.73241633
3,4623,0.71879566
3,5302,0.7323151999999999
3,10455,0.7361974
3,11007,0.7148876000000001
3,12362,0.72932553
3,12365,0.7405678000000001
3,12828,0.7231616999999999
4,1851,0.70037234
4,2159,0.72347933
4,2185,0.7490920999999999
4,3593,0.7919394000000001
4,4488,0.73068786
4,5286,0.71365184
4,9040,0.706955
4,11033,0.81815404
4,11534,0.74028265
4,14903,0.7600359999999999
4,15873,0.7153955
5,14407,0.73299545
6,3486,0.7228779000000001
6,5335,0.70791125
6,5337,0.70669526
6,6141,0.7070390000000001
6,9932,0.72568923
6,9946,0.72010803
7,1343,0.77204597
7,2185,0.71275294
7,2502,0.79174304
7,2671,0.7789723000000001
7,2672,0.79174304
7,2674,0.7070393
7,2813,0.70571756
7,3038,0.77498865
7,4488,0.7606006999999999
7,4581,0.7174522
7,5267,0.72264075
7,5379,0.73379004
7,5535,0.71970093
7,12362,0.7407216999999999
7,12365,0.8237722
8,2102,0.7029649
8,2159,0.7197169
8,2410,0.75175816
8,2502,0.74376476
8,2672,0.74376476
8,2676,0.74358946
8,2812,0.7645192
8,2813,0.7279169
8,2922,0.737363
8,3038,0.7795546
8,4488,0.7379496
8,7224,0.77976197
8,11076,0.70068914
8,11764,0.70930403
8,11772,0.7403234000000001
8,12365,0.7437402
8,15984,0.76433176
14,699,0.70997053
14,3036,0.71069604
14,3266,0.7381321999999999
14,10106,0.78053224
14,15928,0.70479816
15,3666,0.71503776
15,5286,0.7120598000000001
15,7561,0.7121985
15,10023,0.7434463000000001
15,10106,0.70613873
15,14575,0.7056581000000001
15,14903,0.71521634
17,2296,0.7232751999999999
20,1695,0.7070311
20,2102,0.7160272
20,2151,0.72249895
20,2224,0.70499426
20,2230,0.7398193000000001
20,2407,0.7245592
20,2410,0.7333945
20,2612,0.75627893
20,2808,0.72501564
20,2854,0.73060757
20,2922,0.7000779
20,7034,0.730494
20,9812,0.7099814999999999
20,11537,0.711276
20,14704,0.72115326
20,15694,0.7009477
20,15984,0.7564767
21,440,0.7925114000000001
21,2102,0.7089581
21,2158,0.73886395
21,2676,0.7224915
21,4488,0.7172544
21,10023,0.70922095
21,14948,0.71318334
21,15592,0.7256965999999999
23,5822,0.77159315
23,14435,0.71553284
23,15870,0.7281159
24,3036,0.7101770000000001
24,3350,0.71170163
24,3839,0.7146125
24,9040,0.7184458
24,15928,0.7391346999999999
25,699,0.7491102
25,2102,0.7623475000000001
25,2159,0.705019
25,2238,0.7154494
25,2502,0.7343352
25,2672,0.7343352
25,2676,0.7038646
25,2804,0.74965525
25,2813,0.7076169
25,2922,0.71768606
25,3038,0.7521945
25,4488,0.7471624
25,5379,0.7335617
25,10455,0.7183852
25,12365,0.73235416
25,15984,0.72957987
26,1343,0.7595510999999999
